State1,State2,SKU
Don't Alabama,My Alabama,D-AL-M-AL
Don't Alabama,My Alaska,D-AL-M-AK
Don't Alabama,My Arizona,D-AL-M-AZ
Don't Alabama,My Arkansas,D-AL-M-AR
Don't Alabama,My California,D-AL-M-CA
Don't Alabama,My Colorado,D-AL-M-CO
Don't Alabama,My Connecticut,D-AL-M-CT
Don't Alabama,My Delaware,D-AL-M-DE
Don't Alabama,My Florida,D-AL-M-FL
Don't Alabama,My Georgia,D-AL-M-GA
Don't Alabama,My Hawaii,D-AL-M-HI
Don't Alabama,My Idaho,D-AL-M-ID
Don't Alabama,My Illinois,D-AL-M-IL
Don't Alabama,My Indiana,D-AL-M-IN
Don't Alabama,My Iowa,D-AL-M-IA
Don't Alabama,My Kansas,D-AL-M-KS
Don't Alabama,My Kentucky,D-AL-M-KY
Don't Alabama,My Louisiana,D-AL-M-LA
Don't Alabama,My Maine,D-AL-M-ME
Don't Alabama,My Maryland,D-AL-M-MD
Don't Alabama,My Massachusetts,D-AL-M-MA
Don't Alabama,My Michigan,D-AL-M-MI
Don't Alabama,My Minnesota,D-AL-M-MN
Don't Alabama,My Mississippi,D-AL-M-MS
Don't Alabama,My Missouri,D-AL-M-MO
Don't Alabama,My Montana,D-AL-M-MT
Don't Alabama,My Nebraska,D-AL-M-NE
Don't Alabama,My Nevada,D-AL-M-NV
Don't Alabama,My New Hampshire,D-AL-M-NH
Don't Alabama,My New Jersey,D-AL-M-NJ
Don't Alabama,My New Mexico,D-AL-M-NM
Don't Alabama,My New York,D-AL-M-NY
Don't Alabama,My North Carolina,D-AL-M-NC
Don't Alabama,My North Dakota,D-AL-M-ND
Don't Alabama,My Ohio,D-AL-M-OH
Don't Alabama,My Oklahoma,D-AL-M-OK
Don't Alabama,My Oregon,D-AL-M-OR
Don't Alabama,My Pennsylvania,D-AL-M-PA
Don't Alabama,My Rhode Island,D-AL-M-RI
Don't Alabama,My South Carolina,D-AL-M-SC
Don't Alabama,My South Dakota,D-AL-M-SD
Don't Alabama,My Tennessee,D-AL-M-TN
Don't Alabama,My Texas,D-AL-M-TX
Don't Alabama,My Utah,D-AL-M-UT
Don't Alabama,My Vermont,D-AL-M-VT
Don't Alabama,My Virginia,D-AL-M-VA
Don't Alabama,My Washington,D-AL-M-WA
Don't Alabama,My West Virginia,D-AL-M-WV
Don't Alabama,My Wisconsin,D-AL-M-WI
Don't Alabama,My Wyoming,D-AL-M-WY
Don't Alaska,My Alabama,D-AK-M-AL
Don't Alaska,My Alaska,D-AK-M-AK
Don't Alaska,My Arizona,D-AK-M-AZ
Don't Alaska,My Arkansas,D-AK-M-AR
Don't Alaska,My California,D-AK-M-CA
Don't Alaska,My Colorado,D-AK-M-CO
Don't Alaska,My Connecticut,D-AK-M-CT
Don't Alaska,My Delaware,D-AK-M-DE
Don't Alaska,My Florida,D-AK-M-FL
Don't Alaska,My Georgia,D-AK-M-GA
Don't Alaska,My Hawaii,D-AK-M-HI
Don't Alaska,My Idaho,D-AK-M-ID
Don't Alaska,My Illinois,D-AK-M-IL
Don't Alaska,My Indiana,D-AK-M-IN
Don't Alaska,My Iowa,D-AK-M-IA
Don't Alaska,My Kansas,D-AK-M-KS
Don't Alaska,My Kentucky,D-AK-M-KY
Don't Alaska,My Louisiana,D-AK-M-LA
Don't Alaska,My Maine,D-AK-M-ME
Don't Alaska,My Maryland,D-AK-M-MD
Don't Alaska,My Massachusetts,D-AK-M-MA
Don't Alaska,My Michigan,D-AK-M-MI
Don't Alaska,My Minnesota,D-AK-M-MN
Don't Alaska,My Mississippi,D-AK-M-MS
Don't Alaska,My Missouri,D-AK-M-MO
Don't Alaska,My Montana,D-AK-M-MT
Don't Alaska,My Nebraska,D-AK-M-NE
Don't Alaska,My Nevada,D-AK-M-NV
Don't Alaska,My New Hampshire,D-AK-M-NH
Don't Alaska,My New Jersey,D-AK-M-NJ
Don't Alaska,My New Mexico,D-AK-M-NM
